,Overall,Potential,Age,Height(in cm),Weight(in kg),Weak Foot Rating,Skill Moves,International Reputation,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Crossing,Finishing,Heading Accuracy,Short Passing,Curve,Acceleration,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Aggression,Vision,Penalties,Composure, GoalkeeperKicking,Nationality,Preferred Foot
0,91,91,35,169,67,4,4,5,81,89,90,94,34,64,84,90,70,91,93,87,91,92,95,86,68,70,68,44,94,75,96,15,Argentina,Left
1,91,91,34,185,81,4,4,4,80,88,83,87,39,78,75,92,90,89,82,79,78,92,72,87,79,82,82,63,89,84,90,5,France,Right
2,91,91,33,185,81,4,4,5,75,91,79,86,44,83,71,94,91,84,79,76,77,93,82,91,85,76,87,81,81,90,88,12,Poland,Right
3,91,91,31,181,70,5,4,4,74,88,93,87,64,77,94,85,55,93,89,76,76,91,78,92,63,88,74,75,94,83,89,5,Belgium,Right
4,91,95,23,182,73,4,5,4,97,89,80,92,36,76,78,93,72,85,80,97,93,93,81,88,77,87,76,64,83,80,88,7,France,Right
5,90,90,30,175,71,3,4,4,90,89,82,90,45,75,80,93,59,84,84,89,90,93,91,83,69,87,75,63,85,86,92,9,Egypt,Left
6,90,91,30,199,96,3,1,4,84,89,75,90,46,89,14,14,13,33,19,42,63,84,45,56,68,38,70,23,44,27,66,75,Belgium,Left
7,90,90,36,193,93,4,1,5,87,88,91,88,56,91,15,13,25,60,14,54,51,87,35,68,77,43,80,29,70,47,70,91,Germany,Right
8,90,90,37,187,83,4,5,5,81,92,78,85,34,75,80,93,90,80,81,79,77,94,67,93,95,76,77,63,76,90,95,15,Portugal,Right
9,90,90,30,193,92,3,2,4,81,60,71,72,91,86,53,52,87,79,60,68,61,89,53,81,88,74,93,85,65,62,90,13,Netherlands,Right
10,89,89,28,188,89,5,3,4,68,91,83,82,47,82,80,93,85,84,82,67,68,92,71,92,79,83,83,80,87,92,92,11,England,Right
11,89,89,30,175,68,5,5,5,87,83,85,93,37,61,84,83,63,85,88,88,93,88,82,79,62,79,52,63,89,91,93,15,Brazil,Right
12,89,89,29,183,78,5,4,4,88,89,82,86,42,69,83,91,68,84,85,85,85,91,76,88,60,88,64,62,84,73,89,13,Korea Republic,Right
13,89,89,30,185,84,3,2,3,63,73,75,72,87,90,58,64,79,84,62,60,61,87,66,88,85,90,90,91,75,66,84,16,Brazil,Right
14,89,91,29,188,87,3,1,5,86,90,78,89,49,87,13,11,15,43,13,43,65,87,49,59,77,41,78,34,65,11,68,78,Slovenia,Right
15,89,89,30,174,69,4,4,4,90,83,80,88,44,77,78,86,84,84,77,91,93,91,88,83,87,85,72,75,84,75,84,15,Senegal,Right
16,89,91,28,188,86,3,1,3,87,82,93,88,64,88,20,14,14,61,15,64,60,88,48,70,66,41,78,38,70,51,70,93,Brazil,Left
